"cod_reg","regione","ar_kmq","ar_id_p3","ar_id_p2","ar_id_p1","aridp3_p","aridp2_p","aridp1_p","pop_res011","pop_gio","pop_gio_p","pop_adu","pop_adu_p","pop_anz","pop_anz_p","pop_idr_p3","pop_idr_p2","pop_idr_p1","popidp3_p","popidp2_p","popidp1_p","fam_tot","fam_idr_p3","fam_idr_p2","fam_idr_p1","famidp3_p","famidp2_p","famidp1_p","ed_tot","ed_idr_p3","ed_idr_p2","ed_idr_p1","edidp3_p","edidp2_p","edidp1_p","im_tot","im_idr_p3","im_idr_p2","im_idr_p1","imidp3_p","imidp2_p","imidp1_p","n_vir","bbcc_id_p3","bbcc_id_p2","bbcc_id_p1","bbccidp3_p","bbccidp2_p","bbccidp1_p","ar_fr_p4","ar_fr_p3","ar_fr_p2","ar_fr_p1","ar_fr_aa","ar_fr_p3p4","ar_frp4_p","ar_frp3_p","ar_frp2_p","ar_frp1_p","ar_fraa_p","ar_frp3p4p","pop_fr_p4","pop_fr_p3","pop_fr_p2","pop_fr_p1","pop_fr_aa","popfr_p3p4","popfrp4_p","popfrp3_p","popfrp2_p","popfrp1_p","popfraa_p","popfrp3p4p","fam_fr_p4","fam_fr_p3","fam_fr_p2","fam_fr_p1","fam_fr_aa","famfr_p3p4","famfrp4_p","famfrp3_p","famfrp2_p","famfrp1_p","famfraa_p","famfrp3p4p","ed_fr_p4","ed_fr_p3","ed_fr_p2","ed_fr_p1","ed_fr_aa","ed_fr_p3p4","edfrp4_p","edfrp3_p","edfrp2_p","edfrp1_p","edfraa_p","edfrp3p4p","im_fr_p4","im_fr_p3","im_fr_p2","im_fr_p1","im_fr_aa","imfr_p3p4","imfrp4_p","imfrp3_p","imfrp2_p","imfrp1_p","imfraa_p","imfrp3p4p","bbcc_fr_p4","bbcc_fr_p3","bbcc_fr_p2","bbcc_fr_p1","bbcc_fr_aa","bbccfrp3p4","bbccfrp4_p","bbccfrp3_p","bbccfrp2_p","bbccfrp1_p","bbccfraa_p","bbccfrp34p"
1,"Piemonte",25386.697,1288.461,2108.229,3294.874,5.075,8.304,12.979,4363916,564098,12.926,2771719,63.514,1028099,23.559,64503,213655,699621,1.478,4.896,16.032,1953360,28454,94115,309170,1.457,4.818,15.828,1135209,24110,66330,180351,2.124,5.843,15.887,369062,6594,18957,59453,1.787,5.137,16.109,14617,657,1353,2857,4.495,9.256,19.546,697.659,885.118,133.514,0.149,0,1582.777,2.748,3.487,0.526,0.001,0,6.235,36843,45771,64891,0,0,82614,0.844,1.049,1.487,0,0,1.893,17128,21047,29729,0,0,38175,0.877,1.077,1.522,0,0,1.954,22292,24263,23878,1,0,46555,1.964,2.137,2.103,0,0,4.101,2498,3360,5442,0,0,5858,0.677,0.91,1.475,0,0,1.587,370,394,482,0,0,764,2.531,2.695,3.298,0,0,5.227
2,"Valle d'Aosta",3260.854,163.879,238.498,300.844,5.026,7.314,9.226,126806,17727,13.98,82021,64.682,27058,21.338,4587,11508,51373,3.617,9.075,40.513,59370,2137,5323,23824,3.599,8.966,40.128,58978,2762,6535,22135,4.683,11.08,37.531,12876,567,1192,5262,4.404,9.258,40.867,348,31,45,89,8.908,12.931,25.575,1451.224,1220.465,424.226,0,0,2671.689,44.504,37.428,13.01,0,0,81.932,4925,10405,45772,0,0,15330,3.884,8.205,36.096,0,0,12.089,2300,4872,21644,0,0,7172,3.874,8.206,36.456,0,0,12.08,3800,7748,29853,0,0,11548,6.443,13.137,50.617,0,0,19.58,707,1218,3956,0,0,1925,5.491,9.459,30.724,0,0,14.95,25,90,137,0,0,115,7.184,25.862,39.368,0,0,33.046
3,"Lombardia",23863.097,1877.281,2428.136,4843.4,7.867,10.175,20.297,9704151,1383311,14.255,6302826,64.95,2018014,20.795,203751,430196,1398322,2.1,4.433,14.41,4157078,88360,186452,600657,2.126,4.485,14.449,1774946,42389,84215,302436,2.388,4.745,17.039,888054,19170,40308,123778,2.159,4.539,13.938,18792,993,1570,4090,5.284,8.355,21.765,876.004,696.344,561.791,0.838,0,1572.348,3.671,2.918,2.354,0.004,0,6.589,19584,25938,306892,0,0,45522,0.202,0.267,3.162,0,0,0.469,8402,11191,130750,0,0,19593,0.202,0.269,3.145,0,0,0.471,8738,12611,93009,0,0,21349,0.492,0.711,5.24,0,0,1.203,1605,2244,26213,0,0,3849,0.181,0.253,2.952,0,0,0.433,174,223,1354,0,0,397,0.926,1.187,7.205,0,0,2.113
4,"Trentino-Alto Adige",13604.722,0.643,351.245,351.278,0.005,2.582,2.582,1029475,164050,15.935,668999,64.984,196426,19.08,10,185610,185610,0.001,18.03,18.03,426988,5,78713,78713,0.001,18.434,18.434,237230,6,40703,40703,0.003,17.158,17.158,91614,4,17711,17711,0.004,19.332,19.332,1770,0,207,207,0,11.695,11.695,143.387,1357.675,1599.051,1222.601,0.115,1501.062,1.054,9.979,11.754,8.987,0.001,11.033,4413,17558,42807,69875,0,21971,0.429,1.706,4.158,6.787,0,2.134,1689,7187,17788,29404,0,8876,0.396,1.683,4.166,6.886,0,2.079,974,6678,14894,21463,0,7652,0.411,2.815,6.278,9.047,0,3.226,362,1597,3548,5793,0,1959,0.395,1.743,3.873,6.323,0,2.138,31,161,251,183,0,192,1.751,9.096,14.181,10.339,0,10.847
5,"Veneto",18345.369,1835.936,2435.542,5900.473,10.008,13.276,32.163,4855904,692007,14.251,3163994,65.158,999903,20.591,422659,568131,1557994,8.704,11.7,32.085,1986401,178704,236904,648875,8.996,11.926,32.666,1226769,96241,132709,377890,7.845,10.818,30.804,440412,41112,54166,142461,9.335,12.299,32.347,25627,5157,5523,8703,20.123,21.551,33.96,51.703,74.086,34.477,29.749,260.919,125.789,0.282,0.404,0.188,0.162,1.422,0.686,1730,4864,6362,3399,6183,6594,0.036,0.1,0.131,0.07,0.127,0.136,754,2115,2773,1516,2655,2869,0.038,0.106,0.14,0.076,0.134,0.144,1000,2524,2606,1332,3067,3524,0.082,0.206,0.212,0.109,0.25,0.287,148,302,459,316,411,450,0.034,0.069,0.104,0.072,0.093,0.102,58,49,51,30,102,107,0.226,0.191,0.199,0.117,0.398,0.418
6,"Friuli Venezia Giulia",7932.482,763.516,1156.114,1702.56,9.625,14.574,21.463,1220291,154110,12.629,773403,63.379,292778,23.992,62409,121318,242850,5.114,9.942,19.901,548354,27445,52574,104820,5.005,9.588,19.115,353841,18860,38395,77896,5.33,10.851,22.014,96151,7026,12000,23417,7.307,12.48,24.354,5933,693,977,1642,11.68,16.467,27.676,154.387,37.154,10.901,7.782,7.036,191.541,1.946,0.468,0.137,0.098,0.089,2.415,1775,2687,2164,1183,128,4462,0.145,0.22,0.177,0.097,0.01,0.366,854,1326,994,532,58,2180,0.156,0.242,0.181,0.097,0.011,0.398,1122,1611,1222,647,109,2733,0.317,0.455,0.345,0.183,0.031,0.772,184,159,143,75,10,343,0.191,0.165,0.149,0.078,0.01,0.357,44,60,23,8,2,104,0.742,1.011,0.388,0.135,0.034,1.753
7,"Liguria",5416.152,115.496,155.865,192.032,2.132,2.878,3.546,1570694,180830,11.513,958847,61.046,431017,27.441,164897,273583,365762,10.498,17.418,23.287,758161,81309,134415,179637,10.725,17.729,23.694,314256,24589,38250,50359,7.825,12.172,16.025,140737,25609,40470,51023,18.196,28.756,36.254,12608,2237,3263,3824,17.743,25.88,30.33,103.267,662.616,1435.126,943.386,1.502,765.883,1.907,12.234,26.497,17.418,0.028,14.141,8467,84685,304453,464895,493,93152,0.539,5.392,19.383,29.598,0.031,5.931,4265,40618,145002,225091,257,44883,0.563,5.357,19.125,29.689,0.034,5.92,4576,28803,80509,69832,227,33379,1.456,9.165,25.619,22.221,0.072,10.622,530,4457,23906,32215,48,4987,0.377,3.167,16.986,22.89,0.034,3.543,130,608,2726,4864,11,738,1.031,4.822,21.621,38.579,0.087,5.853
8,"Emilia-Romagna",22444.543,2599.624,10235.423,10617.627,11.582,45.603,47.306,4342135,582105,13.406,2763599,63.646,996431,22.948,428568,2714773,3014805,9.87,62.522,69.431,1916735,183533,1183878,1319657,9.575,61.765,68.849,980291,99710,578088,623824,10.171,58.971,63.637,403272,36529,245460,276721,9.058,60.867,68.619,22445,1891,12811,14752,8.425,57.077,65.725,1080.945,2189.405,306.443,159.983,663.688,3270.35,4.816,9.755,1.365,0.713,2.957,14.571,23608,63031,18435,29676,53163,86639,0.544,1.452,0.425,0.683,1.224,1.995,10494,29166,8273,13538,23985,39660,0.547,1.522,0.432,0.706,1.251,2.069,12775,40238,8635,10589,16883,53013,1.303,4.105,0.881,1.08,1.722,5.408,1845,4923,1413,2377,4522,6768,0.458,1.221,0.35,0.589,1.121,1.678,297,800,234,246,340,1097,1.323,3.564,1.043,1.096,1.515,4.888
9,"Toscana",22987.437,1413.166,2794.511,4877.194,6.148,12.157,21.217,3672202,469738,12.792,2322484,63.245,879980,23.963,271208,938199,2359397,7.385,25.549,64.25,1569378,113073,398160,1012411,7.205,25.371,64.51,890257,67939,197612,474288,7.631,22.197,53.275,358984,28923,102517,259117,8.057,28.558,72.181,18594,1388,3489,7134,7.465,18.764,38.367,724.933,2982.952,2294.904,4727.253,129.829,3707.885,3.154,12.976,9.983,20.565,0.565,16.13,32431,121437,315061,611896,5850,153868,0.883,3.307,8.58,16.663,0.159,4.19,13839,51816,128034,254949,2688,65655,0.882,3.302,8.158,16.245,0.171,4.184,12746,49548,85513,163113,3404,62294,1.432,5.566,9.605,18.322,0.382,6.997,2445,8648,23733,51337,499,11093,0.681,2.409,6.611,14.301,0.139,3.09,402,1088,2245,4064,55,1490,2.162,5.851,12.074,21.857,0.296,8.013
10,"Umbria",8464.223,251.752,368.582,509.562,2.974,4.355,6.02,884268,115125,13.019,559305,63.251,209838,23.73,33992,63947,103316,3.844,7.232,11.684,367335,13762,26200,42092,3.746,7.132,11.459,238983,8380,15447,25110,3.507,6.464,10.507,75262,3314,6596,10097,4.403,8.764,13.416,5968,194,329,434,3.251,5.513,7.272,9.163,485.33,409.061,294.135,0,494.493,0.108,5.734,4.833,3.475,0,5.842,1261,16254,84575,72540,0,17515,0.143,1.838,9.564,8.203,0,1.981,587,6909,34783,30040,0,7496,0.16,1.881,9.469,8.178,0,2.041,727,6127,22183,19545,0,6854,0.304,2.564,9.282,8.178,0,2.868,75,1096,6922,6417,0,1171,0.1,1.456,9.197,8.526,0,1.556,73,247,507,421,0,320,1.223,4.139,8.495,7.054,0,5.362
11,"Marche",9401.183,12.646,253.085,372.754,0.135,2.692,3.965,1541319,205912,13.359,981633,63.688,353774,22.953,2664,79717,186471,0.173,5.172,12.098,624740,1054,33429,76785,0.169,5.351,12.291,368803,1073,20864,41190,0.291,5.657,11.169,142657,888,11049,21283,0.622,7.745,14.919,20947,79,983,1608,0.377,4.693,7.677,79.272,659.229,568.948,323.396,0.025,738.501,0.843,7.012,6.052,3.44,0,7.855,3195,29946,45564,16123,0,33141,0.207,1.943,2.956,1.046,0,2.15,1361,11791,17828,6242,0,13152,0.218,1.887,2.854,0.999,0,2.105,1696,10431,12296,5071,0,12127,0.46,2.828,3.334,1.375,0,3.288,279,2285,3282,1165,0,2564,0.196,1.602,2.301,0.817,0,1.797,407,889,933,178,0,1296,1.943,4.244,4.454,0.85,0,6.187
12,"Lazio",17231.723,442.498,594.638,975.686,2.568,3.451,5.662,5502886,759585,13.803,3630870,65.981,1112431,20.215,93982,175851,583507,1.708,3.196,10.604,2354273,38096,72931,248183,1.618,3.098,10.542,954679,21675,32660,70174,2.27,3.421,7.351,456377,9013,15921,47332,1.975,3.489,10.371,13937,246,327,830,1.765,2.346,5.955,733.521,211.393,117.558,57.456,1421.642,944.914,4.257,1.227,0.682,0.333,8.25,5.484,71641,16841,11976,10264,144707,88482,1.302,0.306,0.218,0.187,2.63,1.608,30034,7399,4822,4314,57115,37433,1.276,0.314,0.205,0.183,2.426,1.59,27515,6686,4575,3522,50509,34201,2.882,0.7,0.479,0.369,5.291,3.582,4497,1031,667,626,8136,5528,0.985,0.226,0.146,0.137,1.783,1.211,655,212,33,147,361,867,4.7,1.521,0.237,1.055,2.59,6.221
13,"Abruzzo",10831.496,140.043,239.678,428.829,1.293,2.213,3.959,1307309,169700,12.981,853991,65.324,283618,21.695,39814,94563,259237,3.045,7.233,19.83,524049,17030,40804,108461,3.25,7.786,20.697,434267,7922,16232,48067,1.824,3.738,11.069,109925,5341,13617,29112,4.859,12.388,26.484,4603,87,184,386,1.89,3.997,8.386,627.182,1041.763,10.942,466.911,335.701,1668.945,5.79,9.618,0.101,4.311,3.099,15.408,34314,38983,536,17705,9208,73297,2.625,2.982,0.041,1.354,0.704,5.607,14027,15430,246,7073,3687,29457,2.677,2.944,0.047,1.35,0.704,5.621,17949,16735,724,8575,5079,34684,4.133,3.854,0.167,1.975,1.17,7.987,2157,2268,25,1093,557,4425,1.962,2.063,0.023,0.994,0.507,4.025,323,180,4,103,50,503,7.017,3.91,0.087,2.238,1.086,10.928
14,"Molise",4460.437,87.585,250.44,272.41,1.964,5.615,6.107,313660,38983,12.428,205253,65.438,69424,22.134,1261,7152,8176,0.402,2.28,2.607,128137,494,2765,3157,0.386,2.158,2.464,130618,565,2687,2956,0.433,2.057,2.263,23254,131,660,760,0.563,2.838,3.268,5927,18,88,97,0.304,1.485,1.637,225.474,488.353,68.741,242.184,329.397,713.827,5.055,10.949,1.541,5.43,7.385,16.004,7159,11921,2351,6560,10198,19080,2.282,3.801,0.75,2.091,3.251,6.083,2886,4725,973,2696,4218,7611,2.252,3.687,0.759,2.104,3.292,5.94,3458,5740,1352,3670,5519,9198,2.647,4.394,1.035,2.81,4.225,7.042,462,698,145,338,574,1160,1.987,3.002,0.624,1.454,2.468,4.988,569,222,52,232,304,791,9.6,3.746,0.877,3.914,5.129,13.346
15,"Campania",13670.597,340.31,777.765,841.42,2.489,5.689,6.155,5766810,932495,16.17,3884284,67.356,950031,16.474,115490,293525,346535,2.003,5.09,6.009,2060426,41447,103137,121841,2.012,5.006,5.913,1053193,28543,62359,71940,2.71,5.921,6.831,362502,6539,17721,21400,1.804,4.889,5.903,11296,386,537,573,3.417,4.754,5.073,1281.008,1373.934,1190.637,1400.837,2980.608,2654.942,9.371,10.05,8.709,10.247,21.803,19.421,128597,158963,218344,429801,225098,287560,2.23,2.757,3.786,7.453,3.903,4.986,49202,61135,81650,157283,88110,110337,2.388,2.967,3.963,7.634,4.276,5.355,43414,42145,62643,95062,89780,85559,4.122,4.002,5.948,9.026,8.525,8.124,7486,10153,13968,27964,12917,17639,2.065,2.801,3.853,7.714,3.563,4.866,689,824,444,955,825,1513,6.1,7.295,3.931,8.454,7.303,13.394
16,"Puglia",19540.518,790.023,1357.103,1597.05,4.043,6.945,8.173,4052566,593311,14.64,2687392,66.313,771863,19.046,76114,135932,198021,1.878,3.354,4.886,1533468,28064,50210,73258,1.83,3.274,4.777,1095022,20806,36600,56585,1.9,3.342,5.167,269834,5053,9287,12933,1.873,3.442,4.793,8899,290,409,588,3.259,4.596,6.607,121.206,474.948,1125.51,21.812,9.316,596.154,0.62,2.431,5.76,0.112,0.048,3.051,17134,40574,54279,238,1460,57708,0.423,1.001,1.339,0.006,0.036,1.424,6909,16712,20681,109,601,23621,0.451,1.09,1.349,0.007,0.039,1.54,7043,21280,21124,166,927,28323,0.643,1.943,1.929,0.015,0.085,2.587,1049,2784,2663,16,58,3833,0.389,1.032,0.987,0.006,0.021,1.421,139,374,166,1,1,513,1.562,4.203,1.865,0.011,0.011,5.765
17,"Basilicata",10073.11,264.063,349.247,378.913,2.621,3.467,3.762,578036,76808,13.288,382856,66.234,118372,20.478,3995,6172,7169,0.691,1.068,1.24,230182,1632,2488,2872,0.709,1.081,1.248,187254,1803,2539,2823,0.963,1.356,1.508,38043,296,497,556,0.778,1.306,1.462,2028,56,59,63,2.761,2.909,3.107,268.071,334.234,549.815,212.35,592.055,602.305,2.661,3.318,5.458,2.108,5.878,5.979,19055,21496,25352,13914,24107,40551,3.297,3.719,4.386,2.407,4.171,7.015,7841,8963,10288,5452,9412,16804,3.406,3.894,4.47,2.369,4.089,7.3,8025,8228,9335,4603,8996,16253,4.286,4.394,4.985,2.458,4.804,8.68,1085,1408,1599,900,1464,2493,2.852,3.701,4.203,2.366,3.848,6.553,168,97,102,61,65,265,8.284,4.783,5.03,3.008,3.205,13.067
18,"Calabria",15221.614,2604.93,2622.579,2661.288,17.113,17.229,17.484,1959050,278362,14.209,1306817,66.707,373871,19.084,236707,250035,282577,12.083,12.763,14.424,772977,92184,97464,110295,11.926,12.609,14.269,750522,89118,92850,102096,11.874,12.371,13.603,117904,14213,15506,18292,12.055,13.151,15.514,5020,804,828,891,16.016,16.494,17.749,145.555,208.764,288.985,14.08,48.249,354.319,0.956,1.371,1.899,0.093,0.317,2.328,28534,36428,65689,6362,10473,64962,1.457,1.859,3.353,0.325,0.535,3.316,11991,14902,26798,2660,4039,26893,1.551,1.928,3.467,0.344,0.523,3.479,16888,19627,30920,2941,3923,36515,2.25,2.615,4.12,0.392,0.523,4.865,1242,1600,2927,269,424,2842,1.053,1.357,2.483,0.228,0.36,2.41,297,203,325,55,7,500,5.916,4.044,6.474,1.096,0.139,9.96
19,"Sicilia",25832.545,405.12,504.981,581.072,1.568,1.955,2.249,5002904,747384,14.939,3312320,66.208,943200,18.853,126751,131545,137791,2.534,2.629,2.754,1963577,49459,51293,53689,2.519,2.612,2.734,1726443,37127,39225,42153,2.15,2.272,2.442,291506,8939,9490,9870,3.066,3.256,3.386,8411,466,473,475,5.54,5.624,5.647,379.533,198.887,803.069,223.649,207.589,578.42,1.469,0.77,3.109,0.866,0.804,2.239,48187,41081,23663,20414,185880,89268,0.963,0.821,0.473,0.408,3.715,1.784,19430,17200,9703,8217,74383,36630,0.99,0.876,0.494,0.418,3.788,1.865,24598,23123,15370,11036,28117,47721,1.425,1.339,0.89,0.639,1.629,2.764,2131,2088,1186,1010,16057,4219,0.731,0.716,0.407,0.346,5.508,1.447,399,238,88,79,379,637,4.744,2.83,1.046,0.939,4.506,7.573
20,"Sardegna",24099.453,826.899,973.969,1676.409,3.431,4.041,6.956,1639362,200402,12.224,1110116,67.716,328844,20.059,78485,122963,268893,4.788,7.501,16.402,676777,32202,50361,108351,4.758,7.441,16.01,604234,29574,45459,90054,4.894,7.523,14.904,117588,6613,9854,18762,5.624,8.38,15.956,5590,352,432,660,6.297,7.728,11.807,341.346,1307.988,2617.795,2207.317,0,1649.334,1.416,5.427,10.862,9.159,0,6.844,6896,15054,81042,231798,0,21950,0.421,0.918,4.944,14.14,0,1.339,2975,6422,34556,95420,0,9397,0.44,0.949,5.106,14.099,0,1.388,3729,8337,42159,101038,0,12066,0.617,1.38,6.977,16.722,0,1.997,457,878,5159,15855,0,1335,0.389,0.747,4.387,13.484,0,1.135,101,223,571,763,0,324,1.807,3.989,10.215,13.649,0,5.796